Business Name,Physical Address,Physical Address Number,Physical Address Name,Physical Address Suffix,Physical City,Physical State,Physical ZIP,Physical ZIP 4,Key Executive Name,First Name,Last Name,Title,Gender,Location Employee Size,Corporate Employee Size,Revenue / Yr,Phone,Fax,Toll-Free,County Name,County Population,Metro Area,Latitude,Longitude,Main Line of Business,Primary SIC,Primary SIC Description,NAICS 1,NAICS 1 Description,Non-Profit,Number of PCs,Public / Private,Square Footage,Website,Women Owned,Year Established,Fortune 1000 Ranking,Credit Score,2017 Revenue/Yr,2016 Revenue/Yr,2015 Revenue/Yr,2016 % Sales Growth,2015 % Sales Growth,Home Based Business,Holding Parent Name,Franchise Type
Sandusky Newspapers Inc,314 W Market St,314,Market,St,Sandusky,OH,44870,2410,Matt Westerhold,Matt,Westerhold,Manager,Male,119,659,"$70,496,261 ",(419) 625-5500,(419) 625-3007,N/A,Erie,"25,000 to 49,999","Sandusky, OH",41.455441,-82.713525,Newspapers Publishing & Printing,2711001,Newspapers Publishing & Printing,511110,Newspaper Publishers,No,500 or more,Private,"50,000 or more",www.sanduskyregister.com,No,1822,,100,70496261,67607947,67607947,4.27,0,No,,
Beacon Journal Publishing Co,44 E Exchange St,44,Exchange,St,Akron,OH,44308,1510,Jay Hunter,Jay,Hunter,President,Male,585,,"$67,063,289 ",(330) 996-3000,(330) 376-9235,N/A,Summit,"100,000 to 249,999","Akron, OH",41.074972,-81.52112,Newspapers Publishing & Printing,2711001,Newspapers Publishing & Printing,511110,Newspaper Publishers,No,500 or more,Private,"50,000 or more",www.ohio.com,No,,,100,67063289,71534174,73597660,-6.25,-2.8,No,,
Repository,500 Market Ave S,500,Market,Ave,Canton,OH,44702,2112,Barb Harding,Barb,Harding,President,Female,358,,"$53,989,099 ",(330) 580-8300,(330) 454-5610,N/A,Stark,"50,000 to 99,999","Canton-Massillon, OH",40.795471,-81.375658,Advertising Agencies,7311001,Advertising Agencies,541810,Advertising Agencies,No,500 or more,Private,"50,000 or more",www.cantonrep.com,No,1815,,100,53989099,53235062,54592329,1.42,-2.49,No,,
Vindicator,107 Vindicator Sq,107,Vindicator,Sq,Youngstown,OH,44503,1136,Todd Franko,Todd,Franko,Executive Officer,Male,400,,"$45,724,240 ",(330) 747-1471,(330) 747-3536,(800) 686-9616,Mahoning,"50,000 to 99,999","Youngstown-Warren-Boardman, OH",41.100758,-80.654298,Newspapers Publishing & Printing,2711001,Newspapers Publishing & Printing,511110,Newspaper Publishers,No,100 to 499,Private,"50,000 or more",www.vindy.com,No,1869,,100,45724240,43438028,41723369,5.26,4.11,No,,
Copley Ohio Newspapers Inc,500 Market Ave S,500,Market,Ave,Canton,OH,44702,2112,Steve Hall,Steve,Hall,Chief Financial Officer,Male,367,,"$42,375,068 ",(877) 580-8300,(330) 430-7966,N/A,Stark,"50,000 to 99,999","Canton-Massillon, OH",40.795471,-81.375658,Newspapers Publishing & Printing,2711001,Newspapers Publishing & Printing,511110,Newspaper Publishers,No,100 to 499,Private,"50,000 or more",www.cantonrep.com,No,1815,,100,42375068,40065800,41104970,5.76,-2.53,No,,
Akron Beacon Journal,44 E Exchange St,44,Exchange,St,Akron,OH,44328,1,Carl Springer,Carl,Springer,Chief Executive Officer,Male,350,,"$40,123,335 ",(330) 996-3000,N/A,N/A,Summit,"100,000 to 249,999","Akron, OH",41.07577361,-81.52056059,Newspapers Publishing & Printing,2711001,Newspapers Publishing & Printing,511110,Newspaper Publishers,No,100 to 499,Private,"50,000 or more",www.ohio.com,No,1839,,100,40123335,37257383,36454916,7.69,2.2,No,,
The News-Herald,7085 Mentor Ave,7085,Mentor,Ave,Willoughby,OH,44094,7900,Jeff Schell,Jeff,Schell,Executive Officer,Male,250,"4,905","$28,908,425 ",(440) 951-0000,N/A,N/A,Lake,"Up to 24,999","Cleveland-Elyria, OH",41.647359,-81.388082,Newspapers Publishing & Printing,2711001,Newspapers Publishing & Printing,511110,Newspaper Publishers,No,100 to 499,Private,"50,000 or more",www.news-herald.com,No,1879,,100,28908425,27636454,28330256,4.6,-2.45,No,,
The Chronicle-Telegram,225 East Ave,225,East,Ave,Elyria,OH,44035,5639,Brenda Lindsay,Brenda,Lindsay,Manager,Female,140,,"$21,144,196 ",(440) 329-7000,(440) 329-7272,N/A,Lorain,"50,000 to 99,999","Cleveland-Elyria, OH",41.365747,-82.104357,Advertising Agencies,7311001,Advertising Agencies,541810,Advertising Agencies,No,100 to 499,Private,"10,000 to 49,999",chronicle.northcoastnow.com,No,,,100,21144196,19029776,16915357,11.11,12.5,No,,
Tribune Chronicle,240 Franklin St Se,240,Franklin,St,Warren,OH,44483,5761,Kim Bergman,Kim,Bergman,Executive Officer,Unknown,125,,"$18,662,733 ",(330) 841-1600,(330) 841-1717,N/A,Trumbull,"25,000 to 49,999","Youngstown-Warren-Boardman, OH",41.234745,-80.815738,Advertising Agencies,7311001,Advertising Agencies,541810,Advertising Agencies,No,100 to 499,Private,"10,000 to 49,999",www.tribune-chronicle.com,No,1812,,100,18662733,19857147,21798072,-6.02,-8.9,No,,
Sandusky Register,314 W Market St,314,Market,St,Sandusky,OH,44870,2410,Dave Baumgartner,Dave,Baumgartner,Executive Officer,Male,165,,"$17,650,809 ",(419) 625-5500,N/A,(800) 466-1243,Erie,"25,000 to 49,999","Sandusky, OH",41.455441,-82.713525,Newspapers Publishing & Printing,2711001,Newspapers Publishing & Printing,511110,Newspaper Publishers,No,100 to 499,Private,"50,000 or more",www.sanduskyregister.com,No,2007,,100,17650809,16153165,16367114,9.27,-1.31,No,,
