1,Canteen Vending Services,Charlotte,NC,28217,2400 Yorkmont Rd,Mecklenburg,(704) 328-6065,(704) 329-7911,Michael Kiser,Chief Executive Officer,Male,11,4792957680,Automatic Merchandising Machine Operators,0000-00-00 00:00:00,0000-00-00 00:00:00
2,Mars Chocolate North America,Hackettstown,NJ,7840,800 High St,Warren,(908) 852-1000,(908) 850-2734,Lori Engelhardt,Executive Officer,Female,"1,320",1450680000,Manufacturing Industries,,
3,Avi Foodsystems Inc,Warren,OH,44483,2590 Elm Rd Ne,Trumbull,(330) 372-6000,(330) 372-6485,Patrice Kouvas,Chief Executive Officer,Female,250,1351674852,Durable Goods Wholesale,,
4,G & J Pepsi-Cola/Dr Pepper Inc,Columbus,OH,43219,1241 Gibbard Ave,Franklin,(614) 253-8771,(614) 255-5676,Thomas Gross,President,Male,550,518632785,Groceries & Related Products Wholesale,,
5,Royal Vendors,Kearneysville,WV,25430,426 Industrial Blvd,Jefferson,(304) 728-8363,(304) 725-6579,Robert Bartles,Executive Officer,Male,491,402859475,Importers & Exporters,,
6,Outerwall Inc,Bellevue,WA,98004,1800 114th Ave Se,King,(425) 943-8000,(425) 644-9447,Erik Prusch,Chief Executive Officer,Male,200,383266180,Automatic Merchandising Machine Operators,,
7,The Wittern Group,Clive,IA,50325,8040 University Blvd,Polk,(515) 274-3641,(515) 271-8530,Heidi Chico,Chief Executive Officer,Female,80,375121174,Importers & Exporters,,
8,Pepsi Cola Bottling Co of Yakima,Yakima,WA,98901,1001 S 1st St,Yakima,(509) 248-1313,(509) 248-2843,Rodger Noel,President,Male,380,366530566,Groceries & Related Products Wholesale,,
9,Crane Merchandising,Williston,SC,29853,3330 Dixie Narco Blvd,Barnwell,(803) 266-5000,(803) 266-5049,Donna Gatt,Executive Officer,Female,500,284491605,Importers & Exporters,,
10,Old Fashion Foods,Austell,GA,30106,5521 Collins Blvd,Cobb,(770) 948-1177,(770) 739-3254,Terry Coker,Executive Officer,Unknown,225,276946092,Grocers Wholesale,,
11,Frito-Lay North America Inc,Casa Grande,AZ,85193,1450 W Maricopa Hwy,Pinal,(520) 836-2363,N/A,Sheila Lopez,Manager,Female,450,226285461,Food Preparations,,
12,Servend International Inc,Sellersburg,IN,47172,2100 Future Dr,Clark,(813) 246-6363,(812) 246-9922,Terry Growcock,Chief Executive Officer,Unknown,250,159249818,Importers & Exporters,,
13,Pepsi America,Erlanger,KY,41018,4315 Olympic Blvd,Kenton,(859) 283-9996,(859) 283-6545,Ramon Laguarta,Chief Executive Officer,Male,160,145118880,Groceries & Related Products Wholesale,,
