Business Name,Physical Address,Physical Address Number,Physical Pre Direction,Physical Address Name,Physical Address Suffix,Physical Post Direction,Physical City,Physical State,Physical ZIP,Physical ZIP 4,Key Executive Name,First Name,Middle Initial,Last Name,Title,Gender,Location Employee Size,Revenue / Yr,Mailing Address,Mailing Address Number,Mailing Pre Direction,Mailing Address Name,Mailing Address Suffix,Mailing Post Direction,Mailing City,Mailing State,Mailing ZIP,Mailing ZIP 4,Phone,Fax,Toll-Free,County Name,County Population,Metro Area,Latitude,Longitude,Main Line of Business,Location Type,Importer or Exporter,Manufacturer,Primary SIC,Primary SIC Description,SIC02,SIC02.Description,NAICS 1,NAICS 1 Description,NAICS 2,NAICS 2 Description,NAICS 3,Non-Profit,Number of PCs,Public / Private,Small Business,Square Footage,Website,Women Owned,Year Established,Ticker Symbol,Stock Exchange,Fortune 1000 Ranking,Credit Score,2017 Revenue/Yr,2016 Revenue/Yr,2015 Revenue/Yr,2016 % Sales Growth,2015 % Sales Growth,2017 Employees,2016 Employees,2015 Employees,2016 % Employee Growth,2015 % Employee Growth,Executive First Name 1,Executive Last Name 1,Executive Title 1,Executive Gender 1,Est. Accounting Annual Expense,Est. Advertising Annual Expense,Est. Business Insurance Annual Expense,Est. Legal Annual Expense,Est. Office Equipment Annual Expense,Est. Rent Annual Expense,Est. Technology Annual Expense,Est. Telecom Annual Expense,Est. Utilities Annual Expense,AtoZ ID,Home Based Business
Ten23 Apartments,500 W 23rd St,500,W,23rd,St,,New York,NY,10011,1298,Olivia Nolan,Olivia,,Nolan,Manager,Female,4,"$1,062,651 ",500 W 23rd St,500,W,23rd,St,,New York,NY,10011,1298,(212) 352-1023,N/A,N/A,New York,"500,000 or more","New York-Newark-Jersey City, N",40.74754,-74.004694,Apartment Rental Agencies,,,No,6513007,Apartment Rental Agencies,,,531110,Lessors of Residential Buildings and Dwellings,,,,No,5 to 9,Private,Yes,Up to 999,,No,,,,,72,1062651,531326,796988,100,-33.33,4,2,3,100,-33.33,Olivia,Nolan,Manager,Female,"$2,500 to $4,999","$5,000 to $14,999","$2,500 to $7,499","$7,500 to $14,999","$2,000 to $4,999","$5,000 to $9,999","$2,500 to $4,999","$2,000 to $4,999","$2,500 to $7,499",1.114E+13,No
Milford Management,99 Battery Pl Frnt A,99,,Battery,Pl,,New York,NY,10280,1320, ,,,,,,4,"$1,062,651 ",99 Battery Pl Frnt A,99,,Battery,Pl,,New York,NY,10280,1320,(212) 842-7300,N/A,N/A,New York,"500,000 or more","New York-Newark-Jersey City, N",40.707633,-74.016581,Apartment Rental Agencies,,,No,6513007,Apartment Rental Agencies,,,531110,Lessors of Residential Buildings and Dwellings,,,,No,5 to 9,Private,Yes,Up to 999,,No,2017,,,,66,0,0,0,0,0,,,,0,0,,,,,"$2,500 to $4,999","$5,000 to $14,999","$2,500 to $7,499","$7,500 to $14,999","$2,000 to $4,999","$5,000 to $9,999","$2,500 to $4,999","$2,000 to $4,999","$2,500 to $7,499",1.114E+13,No
Stuyvesant Leasing Office,252 1st Ave,252,,1st,Ave,,New York,NY,10009,2629, ,,,,,,4,"$1,062,651 ",252 1st Ave,252,,1st,Ave,,New York,NY,10009,2629,N/A,N/A,N/A,New York,"500,000 or more","New York-Newark-Jersey City, N",40.73199449,-73.98188047,Apartment Rental Agencies,,,No,6513007,Apartment Rental Agencies,,,531110,Lessors of Residential Buildings and Dwellings,,,,No,5 to 9,Private,Yes,Up to 999,,No,,,,,66,1062651,1062651,0,0,0,4,4,,0,0,,,,,"$2,500 to $4,999","$5,000 to $14,999","$2,500 to $7,499","$7,500 to $14,999","$2,000 to $4,999","$5,000 to $9,999","$2,500 to $4,999","$2,000 to $4,999","$2,500 to $7,499",1.114E+13,No
270 Riverside,270 Riverside Dr,270,,Riverside,Dr,,New York,NY,10025,5209, ,,,,,,4,"$1,062,651 ",270 Riverside Dr,270,,Riverside,Dr,,New York,NY,10025,5209,(212) 864-0270,N/A,N/A,New York,"500,000 or more","New York-Newark-Jersey City, N",40.797996,-73.973015,Apartment Rental Agencies,,,No,6513007,Apartment Rental Agencies,,,531110,Lessors of Residential Buildings and Dwellings,,,,No,5 to 9,Private,Yes,Up to 999,www.270rsd.com,No,,,,,66,0,0,0,0,0,,,,0,0,,,,,"$2,500 to $4,999","$5,000 to $14,999","$2,500 to $7,499","$7,500 to $14,999","$2,000 to $4,999","$5,000 to $9,999","$2,500 to $4,999","$2,000 to $4,999","$2,500 to $7,499",1.114E+13,No
The Hub Avenue B LLC,185 Avenue B,185,,Avenue B,,,New York,NY,10009,3691, ,,,,,,4,"$1,062,651 ",185 Avenue B,185,,Avenue B,,,New York,NY,10009,3691,(212) 254-2535,N/A,N/A,New York,"500,000 or more","New York-Newark-Jersey City, N",40.727821,-73.978915,Apartment Rental Agencies,,,No,6513007,Apartment Rental Agencies,,,531110,Lessors of Residential Buildings and Dwellings,,,,No,5 to 9,Private,Yes,Up to 999,www.thehubaveb.com,No,2018,,,,66,1062651,1062651,0,0,0,4,4,,0,0,,,,,"$2,500 to $4,999","$5,000 to $14,999","$2,500 to $7,499","$7,500 to $14,999","$2,000 to $4,999","$5,000 to $9,999","$2,500 to $4,999","$2,000 to $4,999","$2,500 to $7,499",1.114E+13,No
Solil Management,235 W 22nd St,235,W,22nd,St,,New York,NY,10011,2744, ,,,,,,4,"$1,062,651 ",235 W 22nd St,235,W,22nd,St,,New York,NY,10011,2744,(212) 727-2940,N/A,N/A,New York,"500,000 or more","New York-Newark-Jersey City, N",40.744136,-73.997207,Apartment Rental Agencies,,,No,6513007,Apartment Rental Agencies,,,531110,Lessors of Residential Buildings and Dwellings,,,,No,5 to 9,Private,Yes,Up to 999,www.solil.com,No,2018,,,,66,0,0,0,0,0,,,,0,0,,,,,"$2,500 to $4,999","$5,000 to $14,999","$2,500 to $7,499","$7,500 to $14,999","$2,000 to $4,999","$5,000 to $9,999","$2,500 to $4,999","$2,000 to $4,999","$2,500 to $7,499",1.114E+13,No
The Ormonde,154 W 70th St Ste 200,154,W,70th,St,,New York,NY,10023,4402, ,,,,,,4,"$1,062,651 ",154 W 70th St Ste 200,154,W,70th,St,,New York,NY,10023,4402,(212) 308-0030,N/A,N/A,New York,"500,000 or more","New York-Newark-Jersey City, N",40.77685694,-73.98188168,Apartment Rental Agencies,,,No,6513007,Apartment Rental Agencies,,,531110,Lessors of Residential Buildings and Dwellings,,,,No,5 to 9,Private,Yes,Up to 999,www.theormonde.com,No,,,,,66,0,0,0,0,0,,,,0,0,,,,,"$2,500 to $4,999","$5,000 to $14,999","$2,500 to $7,499","$7,500 to $14,999","$2,000 to $4,999","$5,000 to $9,999","$2,500 to $4,999","$2,000 to $4,999","$2,500 to $7,499",1.114E+13,No
Renoir House Apartments,225 E 63rd St,225,E,63rd,St,,New York,NY,10065,7433, ,,,,,,4,"$1,062,651 ",225 E 63rd St,225,E,63rd,St,,New York,NY,10065,7433,(212) 426-4444,N/A,N/A,New York,"500,000 or more","New York-Newark-Jersey City, N",40.763748,-73.963446,Apartment Rental Agencies,,,No,6513007,Apartment Rental Agencies,,,531110,Lessors of Residential Buildings and Dwellings,,,,No,5 to 9,Private,Yes,Up to 999,www.carmelapartments.com,No,,,,,66,0,0,0,0,0,,,,0,0,,,,,"$2,500 to $4,999","$5,000 to $14,999","$2,500 to $7,499","$7,500 to $14,999","$2,000 to $4,999","$5,000 to $9,999","$2,500 to $4,999","$2,000 to $4,999","$2,500 to $7,499",1.114E+13,No
ACMH Inc,254 W 31st St Fl 9,254,W,31st,St,,New York,NY,10001,2813, ,,,,,,4,"$1,062,651 ",254 W 31st St Fl 9,254,W,31st,St,,New York,NY,10001,2813,(212) 274-8558,N/A,N/A,New York,"500,000 or more","New York-Newark-Jersey City, N",40.749841,-73.994421,Apartment Rental Agencies,,,No,6513007,Apartment Rental Agencies,,,531110,Lessors of Residential Buildings and Dwellings,,,,No,5 to 9,Private,Yes,Up to 999,www.acmhnyc.org,No,,,,,66,0,0,0,0,0,,,,0,0,,,,,"$2,500 to $4,999","$5,000 to $14,999","$2,500 to $7,499","$7,500 to $14,999","$2,000 to $4,999","$5,000 to $9,999","$2,500 to $4,999","$2,000 to $4,999","$2,500 to $7,499",1.114E+13,No
New York Tower,330 E 39th St,330,E,39th,St,,New York,NY,10016,2187, ,,,,,,4,"$1,062,651 ",330 E 39th St,330,E,39th,St,,New York,NY,10016,2187,(212) 883-9096,N/A,N/A,New York,"500,000 or more","New York-Newark-Jersey City, N",40.747123,-73.972257,Apartment Rental Agencies,,,No,6513007,Apartment Rental Agencies,,,531110,Lessors of Residential Buildings and Dwellings,,,,No,5 to 9,Private,Yes,Up to 999,www.panamequities.com,No,,,,,66,0,0,0,0,0,,,,0,0,,,,,"$2,500 to $4,999","$5,000 to $14,999","$2,500 to $7,499","$7,500 to $14,999","$2,000 to $4,999","$5,000 to $9,999","$2,500 to $4,999","$2,000 to $4,999","$2,500 to $7,499",1.114E+13,No
